business_type,years_in_operation,annual_revenue,monthly_cashflow,loan_amount_requested,credit_score,existing_loans,debt_to_income_ratio,collateral_value,repayment_history,default_flag
Services,14,2744291,389430,1129037,346,1,0.11,2697881,Poor,1
Trading,15,5473058,498705,1065930,775,4,0.12,636024,Average,0
Manufacturing,14,447745,322619,905695,763,0,0.11,4789371,Good,0
Services,7,4092824,102666,162036,422,3,0.19,2048149,Average,0
Services,17,2030992,378766,238674,773,4,0.29,3893644,Good,0
Trading,12,437686,208728,2434819,433,1,0.28,4134667,Average,1
Manufacturing,20,2367636,155705,939694,322,3,0.89,3113798,Good,1
Manufacturing,4,5550295,430520,640348,534,1,0.34,3322099,Average,0
Services,9,4451923,127573,2810911,358,2,0.2,3270518,Poor,1
Retail,6,6313206,248892,1421446,463,1,0.54,1631629,Good,0
Services,16,5979980,328690,959121,515,3,0.79,3161663,Poor,1
Services,22,2283044,289152,2190314,482,2,0.64,1908010,Good,1
Services,22,5449534,330435,323497,389,3,0.34,4537079,Good,0
Services,21,4224221,178477,2259465,610,3,0.55,2622760,Good,0
Trading,21,7939220,268141,2175629,556,2,0.67,4502480,Average,1
Manufacturing,2,3614344,318530,1778506,832,1,0.68,2699203,Good,0
Trading,24,349976,110909,2233525,832,0,0.63,3032563,Poor,1
Trading,8,2822620,171899,743464,351,0,0.8,1486630,Average,1
Trading,11,2663128,315184,768730,637,0,0.8,3408424,Average,0
Services,13,3667611,80354,1627415,470,0,0.56,85591,Good,0
Retail,17,4705813,360687,118359,366,4,0.44,1032673,Average,0
Manufacturing,8,3942693,38157,523919,599,0,0.61,3357434,Good,1
Retail,21,2327320,55315,1408356,531,2,0.75,2046416,Poor,1
Trading,18,2112105,318076,1565719,367,0,0.1,2011718,Average,0
Trading,18,6061703,434380,866117,805,3,0.89,3125384,Average,0
Retail,14,6810982,165486,887566,327,0,0.25,4678635,Poor,1
Retail,15,2247238,278669,2498212,350,1,0.48,1951330,Poor,1
Retail,6,6589317,427543,1206543,559,2,0.8,3967925,Good,1
Trading,11,1695796,396024,144455,483,2,0.28,1931430,Average,0
Trading,13,5488924,152018,1559639,322,4,0.48,4828502,Poor,1
Manufacturing,1,6630034,296837,1273981,428,3,0.21,2938265,Average,0
Manufacturing,6,5109045,309385,2386798,590,2,0.42,4126464,Poor,1
Trading,9,3861262,397338,239937,800,1,0.24,3994509,Average,0
Retail,8,7453603,115790,2619464,485,0,0.39,2721503,Poor,1
Retail,11,508859,428756,2983340,778,2,0.4,63474,Average,0
Manufacturing,22,6702891,92255,2532159,791,1,0.89,2071407,Good,0
Trading,19,7331845,215829,2208344,812,0,0.9,4879177,Average,0
Manufacturing,24,5694418,192275,2338910,366,4,0.19,1857600,Good,0
Manufacturing,9,4327902,438297,885165,766,2,0.68,2471492,Good,0
Services,17,345475,212933,862425,584,2,0.14,1858626,Good,1
Services,12,7438030,281439,1784428,716,1,0.12,2505777,Average,0
Services,14,3603364,31350,336287,399,3,0.18,4742746,Average,0
Retail,15,5696364,206584,2093683,488,4,0.87,1081458,Good,1
Trading,16,3539254,338953,2862789,687,3,0.85,4801080,Poor,1
Trading,22,1399577,121894,1603749,540,2,0.26,539989,Average,1
Trading,22,1144081,379701,2328214,716,3,0.23,1641089,Average,0
Trading,20,6783485,456048,506104,475,0,0.29,707852,Average,0
Services,1,4923037,441585,2216503,686,4,0.51,1084495,Average,0
Retail,10,7259972,51728,284085,770,3,0.56,1752362,Good,0
Retail,8,7532024,299720,808171,532,0,0.28,9013,Poor,1
Services,18,3995727,442217,548095,751,1,0.71,2756086,Poor,1
Retail,1,1902970,103384,2217461,576,3,0.35,1801952,Poor,1
Services,2,1831064,20390,736093,528,4,0.84,3153566,Poor,1
Trading,1,4711887,327580,1217732,470,0,0.63,2128520,Good,1
Services,1,6955354,31569,2485296,512,3,0.45,2653668,Average,0
Trading,9,6729742,426245,1540424,581,1,0.73,2283997,Average,1
Trading,13,527189,42490,71576,340,3,0.75,2505191,Good,1
Manufacturing,1,6546115,328019,2813262,421,0,0.33,678870,Average,0
Services,13,2376198,288011,2774442,526,3,0.37,2226954,Good,1
Manufacturing,20,7766511,100820,1085865,593,4,0.85,3970493,Poor,1
Services,22,1768919,381659,1378668,566,2,0.23,3970578,Good,0
Services,7,3581941,291265,2787968,840,0,0.13,57955,Average,0
Manufacturing,2,2950324,21539,2841338,750,0,0.46,4515955,Average,0
